City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Hualmay,PE,-11.0964,-77.6139,65.57,75,65,8.03,broken clouds
130,Chapais,CA,49.7834,-74.8492,33.58,87,100,10.13,overcast clouds
131,East London,ZA,-33.0153,27.9116,68.94,77,20,20.71,few clouds
132,Mahebourg,MU,-20.4081,57.7,73.26,78,75,11.5,broken clouds
133,Raghogarh,IN,24.45,77.2,75.83,84,74,4.47,light rain
134,Kathu,TH,7.9178,98.3332,84.74,85,100,3.71,overcast clouds
135,Parrita,CR,9.5201,-84.3225,81.41,75,94,3.44,overcast clouds
136,Mount Gambier,AU,-37.8333,140.7667,55.78,59,100,10.6,light rain
137,Chuy,UY,-33.6971,-53.4616,58.48,53,5,9.44,clear sky
138,Shubarkuduk,KZ,49.1447,56.4872,55.92,31,15,11.01,few clouds
139,Faro,PT,37.0194,-7.9322,70.18,77,20,10.36,few clouds
140,Ribeira Grande,PT,38.5167,-28.7,75.78,78,20,6.91,few clouds
141,Dunedin,NZ,-45.8742,170.5036,49.05,72,28,9.33,scattered clouds
142,San Quintin,MX,30.4833,-115.95,68.18,86,49,9.17,scattered clouds
143,Lompoc,US,34.6391,-120.4579,60.78,94,100,3.44,overcast clouds
144,Mnogovershinnyy,RU,53.9353,139.9242,28.9,85,1,1.99,clear sky
145,Yarmouth,US,41.7057,-70.2286,64.96,66,0,9.22,clear sky
146,Gusau,NG,12.1628,6.6614,93.81,24,9,5.08,clear sky
147,Sakakah,SA,29.9697,40.2064,87.75,19,0,6.42,clear sky
148,Makariv,UA,50.4641,29.8113,56.17,65,3,7.65,clear sky
149,Verkhnyaya Inta,RU,65.9811,60.3094,40.06,87,99,19.44,overcast clouds
150,Guerrero Negro,MX,27.9769,-114.0611,70.56,83,78,9.62,broken clouds
151,Puteyets,RU,65.1716,57.091,41.56,77,99,12.37,overcast clouds
152,Porto Novo,BJ,6.4965,2.6036,83.66,67,81,8.34,broken clouds
153,Klaksvik,FO,62.2266,-6.589,43.72,75,100,40.6,light rain
154,Faanui,PF,-16.4833,-151.75,77.61,75,7,17.43,clear sky
155,Upernavik,GL,72.7868,-56.1549,13.73,69,15,4.88,few clouds
156,Miri,MY,4.4148,114.0089,76.8,88,100,3.42,overcast clouds
157,Bredasdorp,ZA,-34.5322,20.0403,75.97,48,100,7.34,overcast clouds
158,Kahului,US,20.8947,-156.47,77.02,86,75,4.61,broken clouds
159,Vila Franca Do Campo,PT,37.7167,-25.4333,77.41,80,47,5.82,scattered clouds
160,Lagoa,PT,39.05,-27.9833,70.38,85,10,6.04,clear sky
161,Victoria,HK,22.2855,114.1577,77.38,39,51,11.99,broken clouds
162,Antofagasta,CL,-23.65,-70.4,60.08,62,9,9.35,clear sky
163,Vilyuysk,RU,63.7553,121.6247,25.41,95,100,3.83,overcast clouds
164,Tibati,CM,6.4667,12.6333,73.17,88,100,1.95,light rain
165,Longjiang,CN,47.3303,123.1836,38.91,39,0,6.67,clear sky
166,Tasiilaq,GL,65.6145,-37.6368,33.96,96,100,12.19,snow
167,Torbay,CA,47.6666,-52.7314,56.57,69,41,11.01,scattered clouds
168,Kaeo,NZ,-35.1,173.7833,57.33,94,100,4.65,overcast clouds
169,Pimentel,PE,-6.8367,-79.9342,66.49,72,40,10.36,scattered clouds
170,Xai-Xai,MZ,-25.0519,33.6442,77.16,74,47,9.71,scattered clouds
171,Impfondo,CG,1.6381,18.0667,81.25,69,76,2.28,light rain
172,Asau,RO,46.4333,26.4,58.12,55,1,3.8,clear sky
173,Dan Khun Thot,TH,15.2085,101.7714,72.46,86,100,12.62,overcast clouds
174,Mogadishu,SO,2.0371,45.3438,77.76,81,10,17.56,clear sky
175,Denpasar,ID,-8.65,115.2167,80.26,94,20,0.0,few clouds
176,Vanimo,PG,-2.6741,141.3028,79.16,86,100,4.0,overcast clouds
177,Kavieng,PG,-2.5744,150.7967,80.96,68,35,11.59,scattered clouds
178,Talnakh,RU,69.4865,88.3972,33.91,99,100,10.96,snow
179,Cidreira,BR,-30.1811,-50.2056,60.51,61,100,11.07,light rain
180,Inuvik,CA,68.3499,-133.7218,30.83,91,100,25.46,overcast clouds
