City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
359,Abu Dhabi,AE,89.62,clear sky,24.4667,54.3667,Beach Rotana
361,Grand-Lahou,CI,82.44,scattered clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
363,Suchiate,MX,78.98,overcast clouds,14.55,-92.2167,Suchiate Rainforest ecolodge
364,Namatanai,PG,77.18,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
369,Kampong Thum,KH,75.61,overcast clouds,12.7111,104.8887,Sambor Village Hotel
372,Rincon,US,75.9,broken clouds,32.296,-81.2354,Days Inn Rincon
374,Yarada,IN,80.92,thunderstorm,17.65,83.2667,Yarada Jungle Beach Resorts
375,Ambon,ID,77.14,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
383,Sanghar,PK,89.53,clear sky,26.0466,68.9481,Goklani House گوکلانی ہائوس
384,Kinango,KE,78.91,clear sky,-4.1372,39.3153,Legacy Hotel
385,Cockburn Town,TC,82.99,few clouds,21.4612,-71.1419,Osprey Beach Hotel
395,Tual,ID,83.16,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
397,Pedernales,DO,86.25,clear sky,18.0384,-71.744,Hotel Costa Marina
402,Voi,KE,79.77,clear sky,-3.3945,38.563,Voi Wildlife Lodge
403,Meulaboh,ID,77.95,overcast clouds,4.1363,96.1285,Kost Pria
405,Kupang,ID,81.48,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
410,Sola,VU,78.67,few clouds,-13.8833,167.55,Leumerus Bungalows
411,Jaque,PA,80.33,light rain,7.5175,-78.1703,Aventuras Jaque S.A
412,Libreville,GA,81.45,broken clouds,0.3925,9.4537,Hotel Kreg Le Patio
414,Samana,DO,86.22,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
416,Mmabatho,ZA,89.56,clear sky,-25.85,25.6333,Mahikeng Guest Apartments
417,Carupano,VE,85.26,broken clouds,10.6678,-63.2585,Hotel La dorada
419,Saint Simons,US,75.02,overcast clouds,31.1352,-81.3901,"Holiday Inn Express Saint Simons Island, an IHG Hotel"
423,Rudsar,IR,75.18,few clouds,37.1376,50.288,Hotel Bahar
